TimeStamp(ms), index, UPS, TimeStamp(ms), index, DNS
14862, 0, -1, 14876, 0, 0
14862, 1, -4, 14876, 1, -1
14862, 2, 3, 14876, 2, -8
14862, 3, -5, 14876, 3, -11
14862, 4, -9, 14876, 4, -8
14862, 5, -11, 14876, 5, -9
14862, 6, -10, 14876, 6, -10
14862, 7, -11, 14876, 7, -11
14862, 8, -11, 14876, 8, -11
14862, 9, -13, 14876, 9, -11
14862, 10, -12, 14876, 10, -11
14862, 11, -9, 14876, 11, -12
14862, 12, -15, 14876, 12, -13
14862, 13, -10, 14876, 13, -12
14862, 14, -14, 14876, 14, -14
14862, 15, -12, 14876, 15, -15
14862, 16, -14, 14876, 16, -13
14862, 17, -17, 14876, 17, -17
14862, 18, -15, 14876, 18, -15
14862, 19, -18, 14876, 19, -15
14862, 20, -11, 14876, 20, -18
14862, 21, -19, 14876, 21, -15
14862, 22, -15, 14876, 22, -20
14862, 23, -18, 14876, 23, -13
14862, 24, -13, 14876, 24, -18
14862, 25, -17, 14876, 25, -18
14862, 26, -18, 14876, 26, -18
14862, 27, -18, 14876, 27, -19
14862, 28, -17, 14876, 28, -17
14862, 29, -18, 14876, 29, -19
14862, 30, -17, 14876, 30, -20
14862, 31, -22, 14876, 31, -18
14862, 32, -13, 14876, 32, -18
14862, 33, -20, 14876, 33, -20
14862, 34, -20, 14876, 34, -18
14862, 35, -18, 14876, 35, -21
14862, 36, -18, 14876, 36, -19
14862, 37, -20, 14876, 37, -21
14862, 38, -20, 14876, 38, -21
14862, 39, -20, 14876, 39, -18
14862, 40, -17, 14876, 40, -22
14862, 41, -17, 14876, 41, -18
14862, 42, -24, 14876, 42, -21
14862, 43, -14, 14876, 43, -21
14862, 44, -17, 14876, 44, -17
14862, 45, -20, 14876, 45, -17
14862, 46, -23, 14876, 46, -25
14862, 47, -25, 14876, 47, -28
14862, 48, -34, 14876, 48, -32
14862, 49, 3, 14876, 49, 0
14862, 50, 42, 14876, 50, 42
14862, 51, -35, 14876, 51, -38
14862, 52, -166, 14876, 52, -164
14862, 53, -31, 14876, 53, -37
14862, 54, 202, 14876, 54, 201
14862, 55, 26, 14876, 55, 25
14862, 56, -306, 14876, 56, -310
14862, 57, -120, 14876, 57, -120
14862, 58, 305, 14876, 58, 303
14862, 59, 138, 14876, 59, 133
14862, 60, -365, 14876, 60, -364
14862, 61, -242, 14876, 61, -245
14862, 62, 322, 14876, 62, 319
14862, 63, 279, 14876, 63, 278
14862, 64, -328, 14876, 64, -331
14862, 65, -383, 14876, 65, -386
14862, 66, 237, 14876, 66, 235
14862, 67, 405, 14876, 67, 404
14862, 68, -205, 14876, 68, -207
14862, 69, -489, 14876, 69, -492
14862, 70, 77, 14876, 70, 74
14862, 71, 469, 14876, 71, 468
14862, 72, -22, 14876, 72, -27
14862, 73, -526, 14876, 73, -525
14862, 74, -142, 14876, 74, -145
14862, 75, 472, 14876, 75, 468
14862, 76, 237, 14876, 76, 236
14862, 77, -460, 14876, 77, -463
14862, 78, -401, 14876, 78, -403
14862, 79, 344, 14876, 79, 341
14862, 80, 475, 14876, 80, 474
14862, 81, -268, 14876, 81, -271
14862, 82, -599, 14876, 82, -598
14862, 83, 98, 14876, 83, 95
14862, 84, 615, 14876, 84, 614
14862, 85, 9, 14876, 85, 5
14862, 86, -683, 14876, 86, -681
14862, 87, -211, 14876, 87, -213
14862, 88, 623, 14876, 88, 619
14862, 89, 329, 14876, 89, 328
14862, 90, -591, 14876, 90, -592
14862, 91, -486, 14876, 91, -486
14862, 92, 448, 14876, 92, 448
14862, 93, 497, 14876, 93, 495
14862, 94, -378, 14876, 94, -380
14862, 95, -527, 14876, 95, -527
14862, 96, 241, 14876, 96, 239
14862, 97, 461, 14876, 97, 459
14862, 98, -164, 14876, 98, -164
14862, 99, -450, 14876, 99, -449
14862, 100, 10, 14876, 100, 8
14862, 101, 337, 14876, 101, 337
14862, 102, 43, 14876, 102, 38
14862, 103, -302, 14876, 103, -302
14862, 104, -151, 14876, 104, -153
14862, 105, 179, 14876, 105, 181
14862, 106, 159, 14876, 106, 157
14862, 107, -151, 14876, 107, -151
14862, 108, -237, 14876, 108, -238
14862, 109, 32, 14876, 109, 30
14862, 110, 214, 14876, 110, 215
14862, 111, 3, 14876, 111, 0
14862, 112, -253, 14876, 112, -253
14862, 113, -118, 14876, 113, -120
14862, 114, 191, 14876, 114, 187
14862, 115, 134, 14876, 115, 135
14862, 116, -177, 14876, 116, -180
14862, 117, -191, 14876, 117, -194
14862, 118, 96, 14876, 118, 95
14862, 119, 150, 14876, 119, 145
14862, 120, -101, 14876, 120, -105
14862, 121, -182, 14876, 121, -185
14862, 122, 25, 14876, 122, 21
14862, 123, 120, 14876, 123, 116
14862, 124, -37, 14876, 124, -39
14862, 125, -127, 14876, 125, -131
14862, 126, -23, 14876, 126, -26
14862, 127, 57, 14876, 127, 55
14862, 128, -4, 14876, 128, -3
14862, 129, -59, 14876, 129, -62
14862, 130, -25, 14876, 130, -24
14862, 131, -3, 14876, 131, -4
14862, 132, -23, 14876, 132, -26
14862, 133, -33, 14876, 133, -33
14862, 134, -14, 14876, 134, -19
14862, 135, -21, 14876, 135, -22
14862, 136, -13, 14876, 136, -17
14862, 137, -4, 14876, 137, -3
14862, 138, -27, 14876, 138, -30
14862, 139, -50, 14876, 139, -50
14862, 140, -17, 14876, 140, -20
14862, 141, 7, 14876, 141, 11
14862, 142, -29, 14876, 142, -33
14862, 143, -50, 14876, 143, -47
14862, 144, 3, 14876, 144, 2
14862, 145, 16, 14876, 145, 13
14862, 146, -46, 14876, 146, -43
14862, 147, -56, 14876, 147, -60
14862, 148, 1, 14876, 148, 1
14862, 149, 14, 14876, 149, 14
14862, 150, -38, 14876, 150, -37
14862, 151, -56, 14876, 151, -57
14862, 152, -20, 14876, 152, -23
14862, 153, 3, 14876, 153, 7
14862, 154, -21, 14876, 154, -26
14862, 155, -41, 14876, 155, -39
14862, 156, -18, 14876, 156, -19
14862, 157, 2, 14876, 157, 1
14862, 158, -17, 14876, 158, -14
14862, 159, -37, 14876, 159, -36
