TimeStamp(ms), Command ID, Data
23, Delta TOF, 0.00000000001489297574
24, Absolute TOF UPS, 0.00001902343501569703
25, Absolute TOF DNS, 0.00001901697760331444
26, Volume Flow Rate, 0.52436828613281250000
27, Debug, 0.00000000000000000000
28, Adv. Debug (4), 0.52436828613281250000
274, Delta TOF, 0.00000000000693489710
274, Absolute TOF UPS, 0.00001902241638163105
275, Absolute TOF DNS, 0.00001901661016745493
276, Volume Flow Rate, 0.24418640136718750000
277, Debug, 0.00000000000000000000
278, Adv. Debug (4), 0.24418640136718750000
523, Delta TOF, 0.00000000000483169060
525, Absolute TOF UPS, 0.00001902068834169768
525, Absolute TOF DNS, 0.00001901935320347548
526, Volume Flow Rate, 0.17012023925781250000
527, Debug, 0.00000000000000000000
528, Adv. Debug (4), 0.17012023925781250000
773, Delta TOF, -0.00000000001153921403
774, Absolute TOF UPS, 0.00001902060466818512
775, Absolute TOF DNS, 0.00001902341682580300
776, Volume Flow Rate, -0.40617370605468750000
777, Debug, 0.00000000000000000000
778, Adv. Debug (4), -0.40617370605468750000
1024, Delta TOF, -0.00000000001574562702
1024, Absolute TOF UPS, 0.00001902195981529076
1025, Absolute TOF DNS, 0.00001902298936329316
1026, Volume Flow Rate, -0.55432128906250000000
1027, Debug, 0.00000000000000000000
1028, Adv. Debug (4), -0.55432128906250000000
1273, Delta TOF, -0.00000000001375610736
1274, Absolute TOF UPS, 0.00001901939867821056
1275, Absolute TOF DNS, 0.00001902060466818512
1276, Volume Flow Rate, -0.48452758789062500000
1277, Debug, 0.00000000000000000000
1278, Adv. Debug (4), -0.48452758789062500000
1523, Delta TOF, -0.00000000000164845915
1524, Absolute TOF UPS, 0.00001902237090689596
1525, Absolute TOF DNS, 0.00001902239091577940
1526, Volume Flow Rate, -0.05795288085937500000
1527, Debug, 0.00000000000000000000
1528, Adv. Debug (4), -0.05795288085937500000
1773, Delta TOF, -0.00000000002063416105
1774, Absolute TOF UPS, 0.00001902057010738645
1775, Absolute TOF DNS, 0.00001901838004414458
1776, Volume Flow Rate, -0.72677612304687500000
1777, Debug, 0.00000000000000000000
1778, Adv. Debug (4), -0.72677612304687500000
2024, Delta TOF, -0.00000000001210764822
2025, Absolute TOF UPS, 0.00001902196345326956
2026, Absolute TOF DNS, 0.00001901933137560263
2027, Volume Flow Rate, -0.42639160156250000000
2027, Debug, 0.00000000000000000000
2028, Adv. Debug (4), -0.42639160156250000000
2273, Delta TOF, -0.00000000000540012479
2274, Absolute TOF UPS, 0.00001902195617731195
2275, Absolute TOF DNS, 0.00001902064286696259
2276, Volume Flow Rate, -0.19015502929687500000
2277, Debug, 0.00000000000000000000
2278, Adv. Debug (4), -0.19015502929687500000
2523, Delta TOF, -0.00000000001642774805
2524, Absolute TOF UPS, 0.00001902298936329316
2525, Absolute TOF DNS, 0.00001902237818285357
2526, Volume Flow Rate, -0.57843017578125000000
2527, Debug, 0.00000000000000000000
2528, Adv. Debug (4), -0.57843017578125000000
2774, Delta TOF, -0.00000000000682121026
2775, Absolute TOF UPS, 0.00001902053190860897
2776, Absolute TOF DNS, 0.00001902300027722959
2776, Volume Flow Rate, -0.24012756347656250000
2777, Debug, 0.00000000000000000000
2778, Adv. Debug (4), -0.24012756347656250000
3023, Delta TOF, -0.00000000003598188414
3024, Absolute TOF UPS, 0.00001901939867821056
3025, Absolute TOF DNS, 0.00001901795803860296
3026, Volume Flow Rate, -1.26748657226562500000
3027, Debug, 0.00000000000000000000
3028, Adv. Debug (4), -1.26748657226562500000
3273, Delta TOF, -0.00000000000437694325
3274, Absolute TOF UPS, 0.00001902337135106791
3275, Absolute TOF DNS, 0.00001902196345326956
3276, Volume Flow Rate, -0.15399169921875000000
3277, Debug, 0.00000000000000000000
3278, Adv. Debug (4), -0.15399169921875000000
3524, Delta TOF, -0.00000000002540900823
3525, Absolute TOF UPS, 0.00001901795803860296
3526, Absolute TOF DNS, 0.00001902436270029284
3526, Volume Flow Rate, -0.89476013183593750000
3527, Debug, 0.00000000000000000000
3528, Adv. Debug (4), -0.89476013183593750000
3773, Delta TOF, -0.00000000000926547727
3774, Absolute TOF UPS, 0.00001902238182083238
3775, Absolute TOF DNS, 0.00001902340045489837
3776, Volume Flow Rate, -0.32626342773437500000
3777, Debug, 0.00000000000000000000
3778, Adv. Debug (4), -0.32626342773437500000
4023, Delta TOF, -0.00000000002944489097
4024, Absolute TOF UPS, 0.00001901817449834198
4025, Absolute TOF DNS, 0.00001902240182971582
4026, Volume Flow Rate, -1.03707885742187500000
4027, Debug, 0.00000000000000000000
4028, Adv. Debug (4), -1.03707885742187500000
4274, Delta TOF, 0.00000000001267608241
4275, Absolute TOF UPS, 0.00001901935320347548
4275, Absolute TOF DNS, 0.00001901933137560263
4276, Volume Flow Rate, 0.44639587402343750000
4277, Debug, 0.00000000000000000000
4278, Adv. Debug (4), 0.44639587402343750000
4523, Delta TOF, 0.00000000001307398634
4524, Absolute TOF UPS, 0.00001902380972751416
4525, Absolute TOF DNS, 0.00001902241274365224
4526, Volume Flow Rate, 0.46020507812500000000
4527, Debug, 0.00000000000000000000
4528, Adv. Debug (4), 0.46020507812500000000
4773, Delta TOF, 0.00000000000699174052
4774, Absolute TOF UPS, 0.00001902195617731195
4775, Absolute TOF DNS, 0.00001902237818285357
4776, Volume Flow Rate, 0.24613952636718750000
4777, Debug, 0.00000000000000000000
4778, Adv. Debug (4), 0.24613952636718750000
5024, Delta TOF, 0.00000000001188027454
5024, Absolute TOF UPS, 0.00001902057010738645
5025, Absolute TOF DNS, 0.00001901935320347548
5026, Volume Flow Rate, 0.41839599609375000000
5027, Debug, 0.00000000000000000000
5029, Adv. Debug (4), 0.41839599609375000000
5273, Delta TOF, -0.00000000003410605132
5274, Absolute TOF UPS, 0.00001901605719467625
5275, Absolute TOF DNS, 0.00001902398435049690
5276, Volume Flow Rate, -1.20118713378906250000
5277, Debug, 0.00000000000000000000
5278, Adv. Debug (4), -1.20118713378906250000
5523, Delta TOF, 0.00000000001102762326
5524, Absolute TOF UPS, 0.00001902392068586778
5525, Absolute TOF DNS, 0.00001902438452816568
5526, Volume Flow Rate, 0.38807678222656250000
5527, Debug, 0.00000000000000000000
5528, Adv. Debug (4), 0.38807678222656250000
5774, Delta TOF, -0.00000000001301714292
5774, Absolute TOF UPS, 0.00001902195617731195
5775, Absolute TOF DNS, 0.00001902057010738645
5776, Volume Flow Rate, -0.45826721191406250000
5777, Debug, 0.00000000000000000000
5778, Adv. Debug (4), -0.45826721191406250000
6023, Delta TOF, 0.00000000001028865881
6024, Absolute TOF UPS, 0.00001902196345326956
6025, Absolute TOF DNS, 0.00001901817449834198
6026, Volume Flow Rate, 0.36221313476562500000
6027, Debug, 0.00000000000000000000
6028, Adv. Debug (4), 0.36221313476562500000
6273, Delta TOF, -0.00000000002472688720
6274, Absolute TOF UPS, 0.00001901675568660721
6275, Absolute TOF DNS, 0.00001902380972751416
6276, Volume Flow Rate, -0.87084960937500000000
6277, Debug, 0.00000000000000000000
6278, Adv. Debug (4), -0.87084960937500000000
6524, Delta TOF, -0.00000000001330136001
6524, Absolute TOF UPS, 0.00001902398435049690
6525, Absolute TOF DNS, 0.00001901689756778069
6527, Volume Flow Rate, -0.46838378906250000000
6528, Debug, 0.00000000000000000000
6528, Adv. Debug (4), -0.46838378906250000000
6773, Delta TOF, -0.00000000002557953849
6774, Absolute TOF UPS, 0.00001902064650494140
6775, Absolute TOF DNS, 0.00001902303120004945
6776, Volume Flow Rate, -0.90078735351562500000
6777, Debug, 0.00000000000000000000
6778, Adv. Debug (4), -0.90078735351562500000
7023, Delta TOF, -0.00000000002427213985
7024, Absolute TOF UPS, 0.00001902238182083238
7025, Absolute TOF DNS, 0.00001902053190860897
7026, Volume Flow Rate, -0.85470581054687500000
7027, Debug, 0.00000000000000000000
7028, Adv. Debug (4), -0.85470581054687500000
7274, Delta TOF, -0.00000000002302158464
7275, Absolute TOF UPS, 0.00001902298936329316
7276, Absolute TOF DNS, 0.00001902341682580300
7277, Volume Flow Rate, -0.81057739257812500000
7277, Debug, 0.00000000000000000000
7279, Adv. Debug (4), -0.81057739257812500000
7523, Delta TOF, -0.00000000000204636308
